division,round,matchday,team_a,team_b,score_a,score_b
División 1,Jornada 1,1,MADE IN HEAVEN,Kawaii Kiwis 2026,0,1
División 1,Jornada 1,1,Valkiria's Vikings,VVV,0,1
División 1,Jornada 1,1,EK Esports,Movistar KOI Karps,0,1
División 2,Jornada 1,1,Phoenix eSports,Tan’i eSports LoL,1,0
División 2,Jornada 1,1,Nocturne Gale LOL,BAD LIONS,1,0
División 2,Jornada 1,1,ULTRA FALKE,AzE,1,0
División 3,Jornada 1,1,Eclipse,Goaty Esports,1,0
División 3,Jornada 1,1,Koryu Budo - La Finca,Madrid in Game,1,0
División 3,Jornada 1,1,Azure Dragons,Locked Esports,1,0
División 3,Jornada 1,1,ONI eSports,Valkiria's Valhalla,0,1
División 3,Jornada 1,1,UB Ascensus,Big Yahu Esports,1,0
División 3,Jornada 1,1,Valkiria's Thunder,Void Lynx,1,0
División 3,Jornada 1,1,Nova Outlaws,404 Black,1,0
División 3,Jornada 1,1,DimoniX,Team Meet Valhalla,0,1
División 4,Jornada 1,1,ZRYN esports,Peek A Boo Esports,0,1
División 4,Jornada 1,1,Uniovi eSports,Black Bird Abyss,1,0
División 4,Jornada 1,1,404 Academy,NEO GLORY,1,0
División 4,Jornada 1,1,ROSES IN SPRING White,NX5 eSports White,0,1
División 4,Jornada 1,1,404 Legacy,NX5 eSports Black,0,1
División 4,Jornada 1,1,HellFire Ascended,Malas Lenguas,1,0
División 4,Jornada 1,1,Rising Birds Redux,ROSES IN SPRING Blue,1,0
División 4,Jornada 1,1,Dragons Of Blossom Hikari,404 Nexus,0,1
División 4,Jornada 1,1,RAI RAI Esports,Unknown Family Gaming,0,1
División 4,Jornada 1,1,Noctumbra,Clover eSports,0,1
División 4,Jornada 1,1,DimoniX ACADEMY,PANTUMAKA GANG,0,1
División 4,Jornada 1,1,ALOS eSports,eFox,0,1
División 4,Jornada 1,1,VentuCorp Gods,404 Legion,0,1
División 4,Jornada 1,1,Zenturions,Dragons Of Blossom Illume,1,0
División 4,Jornada 1,1,Koryu Budo Arashi,CSN Corvo,1,0
División 5,Jornada 1,1,Mega Pollo Generation Shinobi,Hellfire Academy,1,0
División 5,Jornada 1,1,Vyronx Panda,Loco Wasa Truncapingas,1,0
División 5,Jornada 1,1,TOPSMURF,Los Ratones Perez,1,0
División 5,Jornada 1,1,LUNARIS GAMING,HARAM,0,1
División 5,Jornada 1,1,Supernova Crypt,PTS,1,0
División 5,Jornada 1,1,Fuji Fenix,Helldogs,0,1
División 5,Jornada 1,1,VyronX,Nexus Gambit,1,0
División 5,Jornada 1,1,Siqui Army,FAKTOR K,1,0
División 5,Jornada 1,1,PorKs,SUSTRAI,0,1
División 5,Jornada 1,1,404 Rising,Isidro Gamos Alcura,1,0
División 5,Jornada 1,1,Shadow Uniovi eSports,Tanguita del Joker,1,0
División 5,Jornada 1,1,VyronX Lion,La Mezquita,1,0
División 5,Jornada 1,1,Aceituna Gaming,La 33,1,0
